Unique ID,State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status
AP/CTR/2024/27/1383,Andhra Pradesh,Chittoor,Food Poisoning,31,0,04-07-2024,04-07-2024,Under Control
AP/VKP/2024/27/1384,Andhra Pradesh,Kakinada,Acute Diarrheal Disease,18,0,03-07-2024,05-07-2024,Under Control
AP/KUR/2024/27/1385,Andhra Pradesh,Nandyal,Acute Diarrheal Disease,42,0,01-07-2024,02-07-2024,Under Control
AS/BPT/2024/27/1386,Assam,Bajali,Fever,16,0,04-07-2024,04-07-2024,Under Surveillance
AS/JRT/2024/27/1387,Assam,Jorhat,Human Rabies,1,1,01-07-2024,02-07-2024,Under Control
AS/UAL/2024/27/1388,Assam,Udalguri,Malaria,24,0,02-07-2024,02-07-2024,Under Surveillance
BH/BHJ/2024/27/1389,Bihar,Bhojpur,Acute Diarrheal Disease,13,0,28-06-2024,03-07-2024,Under Surveillance
BH/JAH/2024/27/1390,Bihar,Jehanabad,Acute Diarrheal Disease,19,1,07-07-2024,07-07-2024,Under Control
CT/BBR/2024/27/1391,Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,151,0,01-07-2024,01-07-2024,Under Control
CT/BBR/2024/27/1392,Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,87,0,30-06-2024,01-07-2024,Under Control
CT/BLS/2024/27/1393,Chhattisgarh,Bilaspur,Acute Diarrheal Disease,59,0,30-06-2024,01-07-2024,Under Control
CT/BLS/2024/27/1394,Chhattisgarh,Bilaspur,Acute Diarrheal Disease,21,0,01-07-2024,01-07-2024,Under Control
CT/KAW/2024/27/1395,Chhattisgarh,Kabirdham,Acute Diarrheal Disease,30,0,03-07-2024,04-07-2024,Under Surveillance
CT/MHN/2024/27/1396,Chhattisgarh,Mahasamund,Acute Diarrheal Disease,97,0,02-07-2024,02-07-2024,Under Surveillance
HP/KIR/2024/27/1397,Himachal Pradesh,Kinnaur,Acute Diarrheal Disease,186,0,26-06-2024,01-07-2024,Under Surveillance
JK/BPN/2024/27/1398,Jammu and Kashmir,Bandipora,Mumps,11,0,01-07-2024,01-07-2024,Under Surveillance
JK/KWR/2024/27/1399,Jammu and Kashmir,Kupwara,Acute Diarrheal Disease,76,0,05-07-2024,05-07-2024,Under Surveillance
JK/UDP/2024/27/1400,Jammu and Kashmir,Udhampur,Mumps,13,0,26-06-2024,05-07-2024,Under Surveillance
JH/LOH/2024/27/1401,Jharkhand,Lohardaga,Food Poisoning,16,0,05-07-2024,06-07-2024,Under Control
KN/GUL/2024/27/1402,Karnataka,Kalaburagi,Food Poisoning,47,0,02-07-2024,02-07-2024,Under Surveillance
KN/GUL/2024/27/1403,Karnataka,Kalaburagi,Acute Diarrheal Disease,16,0,30-06-2024,01-07-2024,Under Surveillance
KN/MNY/2024/27/1404,Karnataka,Mandya,Acute Diarrheal Disease,21,0,03-07-2024,03-07-2024,Under Control
KN/RCR/2024/27/1405,Karnataka,Raichur,Acute Diarrheal Disease,15,0,01-07-2024,03-07-2024,Under Surveillance
