Unique ID,State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status
OR/PUR/2024/41/2498,Odisha,Puri,Food Poisoning,20,0,12-10-2024,13-10-2024,Under Control
RJ/JOD/2024/41/2499,Rajasthan,Jodhpur,CCHF,1,1,09-10-2024,11-10-2024,Under Surveillance
TN/MAD/2024/41/2500,Tamil Nadu,Madurai,Leptospirosis,21,0,07-10-2024,07-10-2024,Under Surveillance
UP/BJN/2024/41/2501,Uttar Pradesh,Bijnor,Food Poisoning,112,0,04-10-2024,10-10-2024,Under Control
UP/FAT/2024/41/2502,Uttar Pradesh,Fatehpur,Acute Diarrheal Disease,36,0,06-10-2024,07-10-2024,Under Control
UP/JAL/2024/41/2503,Uttar Pradesh,Jalaun,Food Poisoning,31,0,08-10-2024,10-10-2024,Under Surveillance
UP/LKW/2024/41/2504,Uttar Pradesh,Lucknow,Acute Diarrheal Disease,15,0,06-10-2024,07-10-2024,Under Surveillance
WB/PRL/2024/41/2505,West Bengal,Purulia,Acute Diarrheal Disease,19,0,06-10-2024,07-10-2024,Under Surveillance
AS/BPT/2024/42/2509,Assam,Barpeta,Diphtheria,1,1,17-10-2024,19-10-2024,Under Control
AS/CHR/2024/42/2510,Assam,Charaideo,Japanese Encephalitis,1,1,20-10-2024,20-10-2024,Under Control
AS/GOL/2024/42/2511,Assam,Golaghat,Food Poisoning,164,0,20-10-2024,20-10-2024,Under Control
AS/JRH/2024/42/2512,Assam,Jorhat,Acute Gastroenteritis,30,1,16-10-2024,16-10-2024,Under Control
AS/MRG/2024/42/2513,Assam,Marigaon,Food Poisoning,10,0,11-10-2024,15-10-2024,Under Control
BH/BHJ/2024/42/2514,Bihar,Bhojpur,Acute Diarrheal Disease,11,0,15-10-2024,15-10-2024,Under Surveillance
BH/GYA/2024/42/2515,Bihar,Gaya,Acute Diarrheal Disease,22,1,14-10-2024,14-10-2024,Under Surveillance
CT/BMT/2024/42/2516,Chhattisgarh,Bemetara,Acute Diarrheal Disease,113,0,16-10-2024,16-10-2024,Under Surveillance
CT/KNK/2024/42/2517,Chhattisgarh,Kanker,Mumps,12,0,16-10-2024,17-10-2024,Under Surveillance
CT/SUK/2024/42/2518,Chhattisgarh,Sukma,Acute Diarrheal Disease,82,7,16-10-2024,17-10-2024,Under Surveillance
GJ/BVN/2024/42/2519,Gujarat,Bhavnagar,Food Poisoning,25,0,16-10-2024,18-10-2024,Under Control
GJ/SUR/2024/42/2520,Gujarat,Surat,Acute Diarrheal Disease,44,0,16-10-2024,17-10-2024,Under Control
GJ/SUR/2024/42/2521,Gujarat,Surendranagar,Food Poisoning,204,0,17-10-2024,18-10-2024,Under Control
GJ/SUR/2024/42/2522,Gujarat,Surendranagar,Food Poisoning,57,0,14-10-2024,15-10-2024,Under Control
GJ/VAL/2024/42/2523,Gujarat,Valsad,Food Poisoning,4,1,18-10-2024,19-10-2024,Under Control
GJ/VAL/2024/42/2524,Gujarat,Valsad,Acute Diarrheal Disease,6,0,14-10-2024,15-10-2024,Under Control
JK/BRM/2024/42/2525,Jammu and Kashmir,Baramulla,Chickenpox,17,0,16-10-2024,18-10-2024,Under Control
JK/KUL/2024/42/2526,Jammu and Kashmir,Kulgam,Hepatitis A,18,0,19-10-2024,19-10-2024,Under Control
JH/DEO/2024/42/2527,Jharkhand,Deoghar,Scrub Typhus,5,0,16-10-2024,17-10-2024,Under Surveillance
JH/GRW/2024/42/2528,Jharkhand,Garhwa,Acute Diarrheal Disease,21,2,14-10-2024,14-10-2024,Under Control
JH/GOD/2024/42/2529,Jharkhand,Godda,Acute Diarrheal Disease,7,0,19-10-2024,19-10-2024,Under Surveillance
JH/SRK/2024/42/2530,Jharkhand,Saraikela Kharsawan,Acute Diarrheal Disease,10,0,14-10-2024,14-10-2024,Under Control
JH/WSB/2024/42/2531,Jharkhand,West Singhbhum,Acute Diarrheal Disease,17,0,19-10-2024,19-10-2024,Under Control
KN/RIC/2024/42/2532,Karnataka,Raichur,Acute Diarrheal Disease,21,0,19-10-2024,20-10-2024,Under Control
KL/ALP/2024/42/2533,Kerala,Alappuzha,Hepatitis A,16,0,16-10-2024,17-10-2024,Under Surveillance
KL/ALP/2024/42/2534,Kerala,Alappuzha,Acute Diarrheal Disease,66,0,15-10-2024,17-10-2024,Under Surveillance
KL/ERN/2024/42/2535,Kerala,Ernakulam,Hepatitis A,5,0,17-10-2024,18-10-2024,Under Control
KL/ERN/2024/42/2536,Kerala,Ernakulam,Dengue,12,0,14-10-2024,17-10-2024,Under Surveillance
KL/ERN/2024/42/2537,Kerala,Ernakulam,Hepatitis A,31,0,14-10-2024,17-10-2024,Under Surveillance
KL/ERN/2024/42/2538,Kerala,Ernakulam,Acute Diarrheal Disease,32,0,16-10-2024,17-10-2024,Under Control
KL/IDK/2024/42/2539,Kerala,Idukki,Mumps,20,0,16-10-2024,18-10-2024,Under Surveillance
KL/KOZ/2024/42/2540,Kerala,Kozhikode,Hepatitis A,47,0,18-10-2024,18-10-2024,Under Surveillance
KL/KOZ/2024/42/2541,Kerala,Kozhikode,Hepatitis A,26,0,14-10-2024,15-10-2024,Under Surveillance
KL/MLP/2024/42/2542,Kerala,Malappuram,Hepatitis A,40,0,14-10-2024,15-10-2024,Under Surveillance
Unique ID,State/UT,District,Disease/Illness,Cases,Deaths,Start Date,Reporting Date,Status
AP/PLN/2024/43/2592,Andhra Pradesh,Palnadu,Acute Diarrheal Disease,15,0,24-10-2024,25-10-2024,Under Surveillance
AS/JHT/2024/43/2593,Assam,Jorhat,Shigellosis,12,0,23-10-2024,23-10-2024,Under Surveillance
AS/JHT/2024/43/2594,Assam,Jorhat,Acute Diarrheal Disease,12,0,18-10-2024,21-10-2024,Under Control
CT/KNK/2024/43/2595,Chhattisgarh,Kanker,Mumps,10,0,19-10-2024,21-10-2024,Under Surveillance
CT/MAH/2024/43/2596,Chhattisgarh,Mahasamund,Acute Diarrheal Disease,63,0,23-10-2024,25-10-2024,Under Control
GJ/BHR/2024/43/2597,Gujarat,Bharuch,Jaundice,55,0,23-10-2024,24-10-2024,Under Surveillance
GJ/NAR/2024/43/2598,Gujarat,Narmada,Measles,12,0,25-10-2024,25-10-2024,Under Surveillance
JK/KUL/2024/43/2599,Jammu and Kashmir,Kulgam,Hepatitis A,9,0,24-10-2024,25-10-2024,Under Surveillance
JH/DMK/2024/43/2600,Jharkhand,Dumka,Acute Diarrheal Disease,11,0,20-10-2024,21-10-2024,Under Surveillance
JH/ESB/2024/43/2601,Jharkhand,East Singhbum,Acute Diarrheal Disease,4,2,23-10-2024,24-10-2024,Under Control
JH/KOD/2024/43/2602,Jharkhand,Koderma,Acute Diarrheal Disease,26,0,21-10-2024,21-10-2024,Under Surveillance
JH/SIM/2024/43/2603,Jharkhand,Simdega,Malaria,32,0,24-10-2024,24-10-2024,Under Surveillance
JH/SIM/2024/43/2604,Jharkhand,Simdega,Mumps,23,0,21-10-2024,21-10-2024,Under Surveillance
KN/BAL/2024/43/2605,Karnataka,Ballari,Measles,11,0,22-10-2024,22-10-2024,Under Surveillance
KN/DHW/2024/43/2606,Karnataka,Dharwad,Acute Diarrheal Disease,94,0,24-10-2024,25-10-2024,Under Surveillance
KN/HAS/2024/43/2607,Karnataka,Hassan,Acute Diarrheal Disease,27,0,23-10-2024,24-10-2024,Under Surveillance
KN/TMK/2024/43/2608,Karnataka,Tumakuru,Acute Diarrheal Disease,22,0,23-10-2024,23-10-2024,Under Surveillance
KN/VIJ/2024/43/2609,Karnataka,Vijayanagar,Chikungunya,73,0,23-10-2024,26-10-2024,Under Surveillance
KN/VIJ/2024/43/2610,Karnataka,Vijayanagar,Leptospirosis,15,0,19-10-2024,24-10-2024,Under Surveillance
KL/KTM/2024/43/2611,Kerala,Kottayam,Mumps,65,0,24-10-2024,24-10-2024,Under Surveillance
KL/KOZ/2024/43/2612,Kerala,Kozhikode,Hepatitis A,28,0,21-10-2024,22-10-2024,Under Surveillance
KL/PLK/2024/43/2613,Kerala,Palakkad,Mumps,41,0,25-10-2024,25-10-2024,Under Surveillance
KL/THR/2024/43/2614,Kerala,Thiruvananthapuram,Mumps,77,0,20-10-2024,24-10-2024,Under Surveillance
MP/ENM/2024/43/2615,Madhya Pradesh,East Nimar,Chikungunya,129,0,22-10-2024,22-10-2024,Under Surveillance
MP/GNA/2024/43/2616,Madhya Pradesh,Guna,Acute Diarrheal Disease,36,0,24-10-2024,25-10-2024,Under Surveillance
MP/SIN/2024/43/2617,Madhya Pradesh,Singrauli,Typhoid,28,0,22-10-2024,25-10-2024,Under Surveillance
MH/AHM/2024/43/2618,Maharashtra,Ahmednagar,Acute Diarrheal Disease,129,0,20-10-2024,22-10-2024,Under Control
MN/NOY/2024/43/2619,Manipur,Noney,Food Poisoning,26,1,23-09-2024,23-10-2024,Under Control
OR/KHR/2024/43/2620,Odisha,Khordha,Hepatitis A,12,0,24-10-2024,25-10-2024,Under Surveillance
OR/MYB/2024/43/2621,Odisha,Mayurbhanj,Acute Diarrheal Disease,11,0,24-10-2024,24-10-2024,Under Control
TN/KNC/2024/43/2622,Tamil Nadu,Kanchipuram,Acute Diarrheal Disease,13,0,19-10-2024,21-10-2024,Under Control
TN/VIR/2024/43/2623,Tamil Nadu,Virudhunagar,Mumps,25,0,21-10-2024,21-10-2024,Under Surveillance
TL/SYP/2024/43/2624,Telangana,Suryapet,Acute Diarrheal Disease,48,0,20-10-2024,26-10-2024,Under Control
UP/HPR/2024/43/2625,Uttar Pradesh,Hapur,Dengue,8,0,19-10-2024,23-10-2024,Under Surveillance
UP/RBR/2024/43/2626,Uttar Pradesh,Rae Bareli,Acute Diarrheal Disease,55,1,20-10-2024,23-10-2024,Under Surveillance
WB/PRL/2024/43/2627,West Bengal,Purulia,Acute Diarrheal Disease,15,0,24-10-2024,24-10-2024,Under Control
AS/GLP/2024/44/2638,Assam,Goalpara,Dengue,29,0,29-10-2024,30-10-2024,Under Surveillance
AS/GLP/2024/44/2639,Assam,Goalpara,Dengue,28,0,28-10-2024,29-10-2024,Under Surveillance
AS/NLB/2024/44/2640,Assam,Nalbari,Measles,3,0,28-10-2024,29-10-2024,Under Surveillance
BH/KIS/2024/44/2641,Bihar,Kishanganj,Acute Encephalitic Syndrome,4,4,02-11-2024,02-11-2024,Under Surveillance
CT/RAP/2024/44/2642,Chhattisgarh,Raipur,Acute Diarrheal Disease,30,0,26-10-2024,28-10-2024,Under Control
HR/NUH/2024/44/2643,Haryana,Nuh,Diphtheria,3,0,28-10-2024,29-10-2024,Under Control
JK/SRN/2024/44/2644,Jammu and Kashmir,Srinagar,Hepatitis A,13,0,31-10-2024,02-11-2024,Under Surveillance
JH/BKO/2024/44/2645,Jharkhand,Bokaro,Acute Diarrheal Disease,20,0,01-11-2024,03-11-2024,Under Control
JH/ESB/2024/44/2646,Jharkhand,East Singhbum,Acute Diarrheal Disease,9,0,31-10-2024,01-11-2024,Under Control
JH/ESB/2024/44/2647,Jharkhand,East Singhbum,Acute Diarrheal Disease,45,1,27-10-2024,28-10-2024,Under Control
KN/KLB/2024/44/2648,Karnataka,Kalaburagi,Cholera,85,0,30-10-2024,31-10-2024,Under Control
KN/VJN/2024/44/2649,Karnataka,Vijayanagar,Acute Diarrheal Disease,13,0,29-10-2024,30-10-2024,Under Surveillance
KL/ERN/2024/44/2650,Kerala,Ernakulam,Mumps,7,0,29-10-2024,01-11-2024,Under Surveillance
KL/ERN/2024/44/2651,Kerala,Ernakulam,Hepatitis A,6,0,28-10-2024,29-10-2024,Under Surveillance
KL/ERN/2024/44/2652,Kerala,Ernakulam,Mumps,8,0,26-10-2024,29-10-2024,Under Control
KL/PLK/2024/44/2653,Kerala,Palakkad,Mumps,26,0,28-10-2024,28-10-2024,Under Surveillance
KL/PTM/2024/44/2654,Kerala,Pathanamthitta,Acute Diarrheal Disease,30,0,01-11-2024,01-11-2024,Under Control
MP/MOR/2024/44/2655,Madhya Pradesh,Morena,Dengue,41,0,31-10-2024,02-11-2024,Under Surveillance
MP/RTL/2024/44/2656,Madhya Pradesh,Ratlam,Cholera,28,2,27-10-2024,28-10-2024,Under Control
MP/REW/2024/44/2657,Madhya Pradesh,Rewa,Dengue,109,0,28-10-2024,28-10-2024,Under Surveillance
MP/UJN/2024/44/2658,Madhya Pradesh,Ujjain,Acute Diarrheal Disease,5,0,01-11-2024,01-11-2024,Under Control
MH/PLG/2024/44/2659,Maharashtra,Palghar,Dengue,22,1,29-10-2024,30-10-2024,Under Surveillance
MH/THN/2024/44/2660,Maharashtra,Thane,Acute Diarrheal Disease,97,0,28-10-2024,31-10-2024,Under Surveillance
MZ/AZW/2024/44/2661,Mizoram,Aizawl,Dengue,157,0,29-10-2024,29-10-2024,Under Control
OR/BAL/2024/44/2662,Odisha,Balangir,Acute Diarrheal Disease,12,0,30-10-2024,30-10-2024,Under Control
OR/BRG/2024/44/2663,Odisha,Bargarh,Acute Diarrheal Disease,19,0,31-10-2024,31-10-2024,Under Control
OR/DEO/2024/44/2664,Odisha,Deogarh,Acute Diarrheal Disease,6,2,02-11-2024,02-11-2024,Under Control
OR/MYB/2024/44/2665,Odisha,Mayurbhanj,Acute Diarrheal Disease,12,0,30-10-2024,30-10-2024,Under Control
OR/PUR/2024/44/2666,Odisha,Puri,Hepatitis A,12,0,01-11-2024,01-11-2024,Under Surveillance
TN/ERD/2024/44/2667,Tamil Nadu,Erode,Mumps,6,0,30-10-2024,02-11-2024,Under Surveillance
TN/VIL/2024/44/2668,Tamil Nadu,Villupuram,Mumps,8,0,01-11-2024,02-11-2024,Under Surveillance
TL/ASF/2024/44/2669,Telangana,Kumuram Bheem Asifabad,Acute Diarrheal Disease,63,0,01-11-2024,02-11-2024,Under Control
UP/FRU/2024/44/2670,Uttar Pradesh,Farrukhabad,Fever with Rash,8,0,28-10-2024,30-10-2024,Under Surveillance
UP/GON/2024/44/2671,Uttar Pradesh,Gonda,Food Poisoning,72,0,28-10-2024,29-10-2024,Under Control
AP/VIZ/2024/45/2682,Andhra Pradesh,Vizianagaram,Cholera,31,0,29-10-2024,04-11-2024,Under Control
AS/CHR/2024/45/2683,Assam,Charaideo,Dengue,56,1,10-11-2024,10-11-2024,Under Surveillance
AS/DIB/2024/45/2684,Assam,Dibrugarh,Shigellosis,50,0,06-11-2024,07-11-2024,Under Surveillance
AS/GLG/2024/45/2685,Assam,Golaghat,Food Poisoning,19,0,10-11-2024,10-11-2024,Under Surveillance
AS/JRH/2024/45/2686,Assam,Jorhat,Cholera,10,0,05-11-2024,05-11-2024,Under Control
AS/JRH/2024/45/2687,Assam,Jorhat,Cholera,10,0,30-10-2024,04-11-2024,Under Control
CT/BJP/2024/45/2688,Chhattisgarh,Bijapur,Japanese Encephalitis,5,0,06-11-2024,06-11-2024,Under Surveillance
GJ/SBK/2024/45/2689,Gujarat,Sabarkantha,Hepatitis A,19,0,07-11-2024,07-11-2024,Under Surveillance
JH/DMK/2024/45/2690,Jharkhand,Dumka,Acute Diarrheal Disease,12,0,03-11-2024,04-11-2024,Under Control
JH/WSB/2024/45/2691,Jharkhand,West Singhbhum,Acute Diarrheal Disease,10,0,05-11-2024,05-11-2024,Under Control
KN/CHT/2024/45/2692,Karnataka,Chitradurga,Chikungunya,12,0,04-11-2024,04-11-2024,Under Surveillance
KN/DKD/2024/45/2693,Karnataka,Dakshin Kannad,Hand Foot Mouth Disease (HFMD),241,0,07-11-2024,08-11-2024,Under Surveillance
KL/ERN/2024/45/2694,Kerala,Ernakulam,Hepatitis A,12,0,05-11-2024,06-11-2024,Under Surveillance
KL/PLK/2024/45/2695,Kerala,Palakkad,Mumps,38,0,06-11-2024,06-11-2024,Under Surveillance
KL/PLK/2024/45/2696,Kerala,Palakkad,Mumps,16,0,05-11-2024,05-11-2024,Under Surveillance
KL/PLK/2024/45/2697,Kerala,Palakkad,Mumps,12,0,04-11-2024,04-11-2024,Under Surveillance
KL/WYN/2024/45/2698,Kerala,Wayanad,Acute Diarrheal Disease,29,0,07-11-2024,08-11-2024,Under Control
MP/DTI/2024/45/2699,Madhya Pradesh,Datia,Mumps,12,0,06-11-2024,06-11-2024,Under Surveillance
MP/STN/2024/45/2700,Madhya Pradesh,Satna,Cholera,25,0,05-11-2024,05-11-2024,Under Surveillance
MH/AHM/2024/45/2701,Maharashtra,Ahmednagar,Dengue,23,0,06-11-2024,07-11-2024,Under Surveillance
MH/CHN/2024/45/2702,Maharashtra,Chandrapur,Acute Diarrheal Disease,61,0,05-11-2024,07-11-2024,Under Control
OR/KND/2024/45/2703,Odisha,Kandhamal,Food Poisoning,6,2,01-11-2024,04-11-2024,Under Control
OR/SMB/2024/45/2704,Odisha,Sambalpur,Acute Diarrheal Disease,9,0,04-11-2024,04-11-2024,Under Control
TN/DIN/2024/45/2705,Tamil Nadu,Dindigul,Hepatitis A,18,0,04-11-2024,06-11-2024,Under Surveillance
TN/NMK/2024/45/2706,Tamil Nadu,Namakkal,Mumps,7,0,07-11-2024,08-11-2024,Under Surveillance
TN/NMK/2024/45/2707,Tamil Nadu,Namakkal,Mumps,5,0,05-11-2024,05-11-2024,Under Surveillance
TN/RAN/2024/45/2708,Tamil Nadu,Ranipet,Human Rabies,1,1,30-10-2024,04-11-2024,Under Control
TN/SLM/2024/45/2709,Tamil Nadu,Salem,Mumps,17,0,08-11-2024,09-11-2024,Under Surveillance
TN/TCP/2024/45/2710,Tamil Nadu,Tiruchirappalli,Mumps,18,0,06-11-2024,06-11-2024,Under Surveillance
TL/NIR/2024/45/2711,Telangana,Nirmal,Food Poisoning,16,0,05-11-2024,06-11-2024,Under Control
WB/SPG/2024/45/2712,West Bengal,24 Parganas South,Acute Diarrheal Disease,26,0,06-11-2024,06-11-2024,Under Control
WB/BRB/2024/45/2713,West Bengal,Birbhum,Acute Diarrheal Disease,32,1,02-11-2024,07-11-2024,Under Control
WB/HGH/2024/45/2714,West Bengal,Hooghly,Acute Diarrheal Disease,38,0,04-11-2024,05-11-2024,Under Control
WB/PRL/2024/45/2715,West Bengal,Purulia,Acute Diarrheal Disease,14,0,05-11-2024,06-11-2024,Under Control
AP/VKP/2024/46/2720,Andhra Pradesh,Visakhapatanam,Food Poisoning,48,0,11-11-2024,13-11-2024,Under Control
AS/CHR/2024/46/2721,Assam,Charaideo,Mumps,8,0,12-11-2024,12-11-2024,Under Control
AS/GLP/2024/46/2722,Assam,Goalpara,Dengue,24,0,10-11-2024,14-11-2024,Under Surveillance
BH/PTN/2024/46/2723,Bihar,Patna,Food Poisoning,6,2,10-11-2024,13-11-2024,Under Surveillance
BH/VSH/2024/46/2724,Bihar,Vaishali,Measles,45,0,11-11-2024,12-11-2024,Under Surveillance
GJ/BHR/2024/46/2725,Gujarat,Bharuch,Food Poisoning,48,0,10-11-2024,11-11-2024,Under Surveillance
GJ/NAV/2024/46/2726,Gujarat,Navsari,Acute Diarrheal Disease,9,0,12-11-2024,13-11-2024,Under Control
HP/KNG/2024/46/2727,Himachal Pradesh,Kangra,Jaundice,20,0,13-11-2024,15-11-2024,Under Control
JK/BRM/2024/46/2728,Jammu and Kashmir,Baramulla,Chickenpox,14,0,13-11-2024,15-11-2024,Under Surveillance
JK/KUL/2024/46/2729,Jammu and Kashmir,Kulgam,Hepatitis A,12,0,12-11-2024,16-11-2024,Under Surveillance
JH/DUM/2024/46/2730,Jharkhand,Dumka,Acute Diarrheal Disease,12,0,15-11-2024,16-11-2024,Under Surveillance
JH/GID/2024/46/2731,Jharkhand,Giridih,Typhoid,8,0,14-11-2024,14-11-2024,Under Control
JH/GOD/2024/46/2732,Jharkhand,Godda,Malaria,10,0,11-11-2024,12-11-2024,Under Surveillance
JH/SBJ/2024/46/2733,Jharkhand,Sahebganj,Malaria,18,0,10-11-2024,13-11-2024,Under Surveillance
KN/BDR/2024/46/2734,Karnataka,Bidar,Food Poisoning,56,0,13-11-2024,14-11-2024,Under Control
KN/HVR/2024/46/2735,Karnataka,Haveri,Food Poisoning,64,0,11-11-2024,11-11-2024,Under Control
KN/KLB/2024/46/2736,Karnataka,Kalaburagi,Acute Diarrheal Disease,31,0,13-11-2024,14-11-2024,Under Control
KN/MND/2024/46/2737,Karnataka,Mandya,Food Poisoning,61,0,16-11-2024,16-11-2024,Under Control
KN/MYS/2024/46/2738,Karnataka,Mysuru,Food Poisoning,22,0,14-11-2024,15-11-2024,Under Control
KL/ERN/2024/46/2739,Kerala,Ernakulam,Hepatitis A,39,0,11-11-2024,13-11-2024,Under Surveillance
KL/ERN/2024/46/2740,Kerala,Ernakulam,Mumps,10,0,12-11-2024,12-11-2024,Under Surveillance
KL/KOZ/2024/46/2741,Kerala,Kozhikode,Hepatitis A,105,0,13-11-2024,13-11-2024,Under Surveillance
KL/PLK/2024/46/2742,Kerala,Palakkad,Food Poisoning,20,0,15-11-2024,16-11-2024,Under Surveillance
KL/PLK/2024/46/2743,Kerala,Palakkad,Mumps,23,0,14-11-2024,14-11-2024,Under Surveillance
KL/PLK/2024/46/2744,Kerala,Palakkad,Mumps,20,0,13-11-2024,13-11-2024,Under Surveillance
KL/WYN/2024/46/2745,Kerala,Wayanad,Food Poisoning,9,1,11-11-2024,17-11-2024,Under Surveillance
KL/WYN/2024/46/2746,Kerala,Wayanad,Food Poisoning,86,0,17-11-2024,17-11-2024,Under Control
MP/GWL/2024/46/2747,Madhya Pradesh,Gwalior,Food Poisoning,20,0,12-11-2024,13-11-2024,Under Control
MP/SHV/2024/46/2748,Madhya Pradesh,Shivpuri,Food Poisoning,45,0,09-11-2024,12-11-2024,Under Surveillance
MH/NSH/2024/46/2749,Maharashtra,Nashik,Acute Diarrheal Disease,21,1,13-11-2024,14-11-2024,Under Surveillance
MH/PRB/2024/46/2750,Maharashtra,Parbhani,Chikungunya,14,0,12-11-2024,14-11-2024,Under Control
MH/RIG/2024/46/2751,Maharashtra,Raigad,Chikungunya,27,0,09-11-2024,14-11-2024,Under Surveillance
MH/SDG/2024/46/2752,Maharashtra,Sindhudurg,Leptospirosis,1,1,14-11-2024,14-11-2024,Under Surveillance
OR/GJP/2024/46/2753,Odisha,Gajapati,Chickenpox,20,0,10-11-2024,16-11-2024,Under Surveillance
AP/SPN/2024/47/2770,Andhra Pradesh,SPSR Nellore,Acute Diarrheal Disease,42,0,18-11-2024,19-11-2024,Under Control
AP/TRP/2024/47/2771,Andhra Pradesh,Tirupati,Food Poisoning,17,0,19-11-2024,21-11-2024,Under Control
AP/VKP/2024/47/2772,Andhra Pradesh,Visakhapatanam,Acute Diarrheal Disease,48,0,22-11-2024,23-11-2024,Under Control
AS/CHA/2024/47/2773,Assam,Charaideo,Japanese Encephalitis,1,1,19-11-2024,21-11-2024,Under Surveillance
AS/DAR/2024/47/2774,Assam,Darrang,Food Poisoning,33,0,17-11-2024,18-11-2024,Under Surveillance
AS/KOK/2024/47/2775,Assam,Kokrajhar,Malaria,624,0,23-01-2024,24-11-2024,Under Surveillance
AS/KOK/2024/47/2776,Assam,Kokrajhar,Malaria,333,1,16-11-2024,18-11-2024,Under Surveillance
AS/LKM/2024/47/2777,Assam,Lakhimpur,Chickenpox,6,0,19-11-2024,19-11-2024,Under Surveillance
CT/BOL/2024/47/2778,Chhattisgarh,Balod,Acute Diarrheal Disease,85,0,17-11-2024,18-11-2024,Under Control
CT/BMT/2024/47/2779,Chhattisgarh,Bemetara,Measles,49,0,20-11-2024,21-11-2024,Under Surveillance
CT/SUK/2024/47/2780,Chhattisgarh,Sukma,Malaria,142,0,17-01-2024,21-11-2024,Under Surveillance
GJ/AND/2024/47/2781,Gujarat,Anand,Acute Diarrheal Disease,86,0,19-11-2024,20-11-2024,Under Control
JK/BRM/2024/47/2782,Jammu and Kashmir,Baramulla,Hepatitis A,21,0,18-11-2024,18-11-2024,Under Control
JH/DUM/2024/47/2783,Jharkhand,Dumka,Acute Diarrheal Disease,34,0,18-11-2024,19-11-2024,Under Surveillance
JH/GRH/2024/47/2784,Jharkhand,Garhwa,Malaria,8,0,21-11-2024,21-11-2024,Under Control
JH/HAZ/2024/47/2785,Jharkhand,Hazaribagh,Chikungunya,5,0,16-11-2024,19-11-2024,Under Surveillance
JH/SIM/2024/47/2786,Jharkhand,Simdega,Malaria,31,0,23-11-2024,23-11-2024,Under Surveillance
JH/SIM/2024/47/2787,Jharkhand,Simdega,Malaria,13,0,20-11-2024,22-11-2024,Under Surveillance
KN/BLG/2024/47/2788,Karnataka,Belagavi,Acute Diarrheal Disease,48,0,19-11-2024,20-11-2024,Under Surveillance
KN/CIT/2024/47/2789,Karnataka,Chitradurga,Food Poisoning,64,0,20-11-2024,21-11-2024,Under Surveillance
KN/UKD/2024/47/2790,Karnataka,Uttar Kannad,Mumps,13,0,22-11-2024,22-11-2024,Under Surveillance
KL/ERN/2024/47/2791,Kerala,Ernakulam,Acute Diarrheal Disease,31,0,24-11-2024,24-11-2024,Under Surveillance
KL/ERN/2024/47/2792,Kerala,Ernakulam,Acute Diarrheal Disease,62,0,18-11-2024,22-11-2024,Under Surveillance
KL/ERN/2024/47/2793,Kerala,Ernakulam,Food Poisoning,107,0,18-11-2024,18-11-2024,Under Control
KL/KNR/2024/47/2794,Kerala,Kannur,Hepatitis A,23,0,16-11-2024,19-11-2024,Under Surveillance
KL/KAS/2024/47/2795,Kerala,Kasaragod,Hepatitis A,11,0,21-11-2024,23-11-2024,Under Surveillance
KL/KAS/2024/47/2796,Kerala,Kasaragod,Food Poisoning,74,0,21-11-2024,23-11-2024,Under Control
KL/KTM/2024/47/2797,Kerala,Kottayam,Mumps,9,0,19-11-2024,21-11-2024,Under Surveillance
KL/KTM/2024/47/2798,Kerala,Kottayam,Chickenpox,12,0,15-11-2024,20-11-2024,Under Surveillance
KL/KOZ/2024/47/2799,Kerala,Kozhikode,Dengue,22,0,16-11-2024,19-11-2024,Under Control
KL/PLK/2024/47/2800,Kerala,Palakkad,Mumps,20,0,23-11-2024,23-11-2024,Under Surveillance
KL/PLK/2024/47/2801,Kerala,Palakkad,Mumps,18,0,21-11-2024,21-11-2024,Under Surveillance
KL/PLK/2024/47/2802,Kerala,Palakkad,Mumps,17,0,19-11-2024,19-11-2024,Under Control
KL/THI/2024/47/2803,Kerala,Thiruvananthapuram,Chickenpox,176,0,22-11-2024,23-11-2024,Under Surveillance
AP/VIS/2024/48/2823,Andhra Pradesh,Visakhapatanam,Acute Diarrheal Disease,48,0,26-11-2024,26-11-2024,Under Control
AR/WKM/2024/48/2824,Arunachal Pradesh,West Kameng,Chickenpox,17,0,26-11-2024,26-11-2024,Under Surveillance
AR/WSI/2024/48/2825,Arunachal Pradesh,West Siang,Chickenpox,6,0,30-11-2024,01-12-2024,Under Surveillance
AS/HIL/2024/48/2826,Assam,Hailakandi,Measles,9,0,29-11-2024,29-11-2024,Under Control
AS/SON/2024/48/2827,Assam,Sonitpur,Acute Diarrheal Disease,32,0,27-11-2024,28-11-2024,Under Control
CT/DUR/2024/48/2828,Chhattisgarh,Durg,Acute Diarrheal Disease,42,0,28-11-2024,28-11-2024,Under Control
GJ/KHE/2024/48/2829,Gujarat,Kheda,Acute Diarrheal Disease,12,0,30-11-2024,30-11-2024,Under Control
JK/UDH/2024/48/2830,Jammu and Kashmir,Udhampur,Chikungunya,8,0,27-11-2024,27-11-2024,Under Surveillance
JH/CHA/2024/48/2831,Jharkhand,Chatra,Malaria,11,0,25-11-2024,26-11-2024,Under Surveillance
KN/HAV/2024/48/2832,Karnataka,Haveri,Acute Diarrheal Disease,41,0,28-11-2024,28-11-2024,Under Control
KN/MAN/2024/48/2833,Karnataka,Mandya,Food Poisoning,46,0,21-11-2024,25-11-2024,Under Control
KN/UKN/2024/48/2834,Karnataka,Uttar Kannad,Mumps,24,0,28-11-2024,29-11-2024,Under Surveillance
